index,comment,n_star,date_time,label
0,"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình",5,2 tuần trước,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
1,Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,5,14/09/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};
2,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),3,17/08/2020,{FEATURES#Negative};
3,"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy",3,29/02/2020,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};
4,"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...",5,4/6/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};
5,"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi",5,20/06/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
6,Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,1,1 tuần trước,{BATTERY#Negative};{OTHERS};
7,"Hôm qua ngày 23/6/2020 e ra thế giới di động  mua chiếc dthoai galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà  nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..",2,23/06/2020,{SER&ACC#Negative};{OTHERS};
8,"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy",2,23/12/2019,{BATTERY#Negative};{OTHERS};
9,"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.",1,31/05/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};
10,Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,5,30/05/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
11,"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",5,3 tuần trước,{SCREEN#Neutral};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};
12,"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình",4,7/6/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};
13,"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo",5,16/07/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
14,"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
15,"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",5,18/04/2018,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};
16,Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,5,7/12/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
17,"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.",3,18/11/2019,{FEATURES#Negative};{OTHERS};
18,Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,1,5 ngày trước,{PERFORMANCE#Negative};{OTHERS};
19,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",1,17/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};
20,Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,5,30/03/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
21,Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,5,1/7/2020,{BATTERY#Positive};{OTHERS};
22,Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,5,5/1/2020,{PERFORMANCE#Negative};{OTHERS};
23,"Tất cả mọi thứ đều ổn hết: màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. 
Nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. Tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. 
Thêm 1 cái nhỏ xíu xiu : mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. Tức ghê 🥴🥴",4,17/01/2020,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Negative};{GENERAL#Positive};
