comment,n_star,date_time,label,positive_count,neutral_count,negative_count
điện thoải ổn facelock cực nhanh vân tay ôk màn_hình lớn pin trâu liên_quân zalo youtube một ngày mất khoảng 45 tuy chip 439 mượt đa_nhiệm khá ổn,5,5/2/2020,Positive,4,0,0
mình mới mua vivo91c tải ứng_dụng games nhanh hài_lòng cài hình nền khóa màn_hình hay mình biết hết chức_năng nó tư_vấn viên nhiệt_tình,5,14/05/2019,Positive,2,0,1
xấu đẹp ko biết ưng tgdđ phục_vụ tuyệt_vời mua ở tgdđ mòn đít mua dài_dài ủng_hộ tgdđ,5,26/03/2020,Positive,1,1,0
màn_hình hơi lác chơi game nặng mình chơi ở 2 bên loa ngoài sao nó dùng 1 bên mình hỏi máy bạn hả hay máy mình lỗi,4,4/6/2019,Negative,0,0,2
nói_chung máy đẹp màn amoled ổn trong tầm giáhơi tiếc thời_lượng pin k cao quảng_cáo,4,12/5/2020,Positive,2,0,1
đt 3 lỗi 1 chế dô bỏ_túi 2 ánh_sáng điện_thoại 3 nhấp đúp màn_hình ko nhạy lắm còn tốt,4,22/04/2020,Negative,1,0,2
thật tuyệt máy mượt túi thích thế_giới di_động chỗ giá khác túi hiểu đánh_giá 5sao thế_giới di_động phương phú châu 5sao nhân_viên ok,5,3/6/2020,Negative,0,0,0
sản_phẩm tốt pin sài cả ngày hết chơi game lướt web mượt chụp hình đẹp cầm tay đáng đồng_tiền,5,21/10/2017,Positive,6,0,0
mua đc 1 tuần đt sài khá tốt giá tầm trung v ok lắm pin cực_kì mạnh điểm yếu cam trc thôi cam đẹp lắm nha mọi người sài kĩ một_tí máy tốt lắm máy gần 4tr chê nọ sao v tốt lắm,5,11/5/2020,Positive,2,2,0
pin nhanh hết vân tay đk nhạy nhân vien tgdd tư_vấn nhiệt_tình dễ_thương 5 sao về phong_cách bán hàng,2,7/2/2020,Negative,1,0,2
mới sài cặp nứt màn nứt k bảo_hành thay màn gần bằng máy mới chán,1,22/07/2020,Negative,0,0,2
máy thiết_kế quá đẹp dùng dk mấy hôm r thấy máy ổn tiếc pin tụt quá nhanh pin sạc nhanh nóng,2,4/5/2020,Positive,2,0,1
nâng_cấp phiên_bản mới pin sụt nhanh nghĩ chán,2,28/05/2020,Negative,0,0,2
dùng 1 tháng ok sang tháng thư 2 bắt đau lỗi chán quá săp nguồn chết k dc còn kêu tắt tình ắng chế_tài nghe j ý,2,3/6/2020,Negative,0,0,3
mình mua đc 1 tuần tình_trạng pin còn 98 đổi đc hk vs đứng máy thấy nản quá,1,15/04/2020,Negative,0,0,3
mua xong muốn trả máy camera quá tệ cả camera lẫn khuyên ai chụp ảnh mình k lấy con,2,16/07/2020,Negative,0,0,1
may mới mua 1 tháng pin ổn chụp hình xấu viền máy mới_đây tróc sơn quá thất_vọng,1,18/05/2019,Negative,1,0,3
app ngân_hàng chặn đăng_nhập vân tay k đáng_giá 27tr mua về chip yếu giờ chặn chức_năng vân tay trong màn_hình,1,6/11/2019,Negative,0,0,3
mọi thứ okmình thấy pin trâu sao đâumua đc 2 tuần cảm_biến vân tay ko nhạy mong_đợi thôi,4,8/4/2020,Positive,2,0,1
máy nâng_cấp bản cập_nhật sửa lỗi bluetooth nghe nhạc bluetooth ngon_lành,5,26/01/2020,Positive,2,0,0
máy xài tạm ổn màn_hình nó ko nhay bấm vài lần mới,2,9/9/2019,Negative,0,1,1
máy mượt dùng tốt pin ok chụp hình đẹp mới mua về thời_gian dùng tiếp,5,11/5/2020,Positive,4,0,0
máy quá kém chơi game giật máy mau nóng quá hợp giá 13 triệu giờ xài oppo giờ mua samsung kg dám mua thứ 2quá tệ,1,21/04/2020,Negative,0,0,4
khá ngon trong tầm giá màn_hình lớn chơi game xem phim ngon chip khá mạnh hơi ấm tí,4,10/5/2020,Positive,3,1,0
em hỏi máy em mua 1 tuần máy lâu_lâu em nghe cốc lỏng ở trong như_vậy vấn_đề j k anh,1,4/5/2019,Negative,0,0,0
vài ngày sd sp thấy đt cx tạm ổn xài xạc cảm_ứq đơ pin tuột nhanh vân tay xài cx khá ổn,4,5/8/2019,Negative,1,1,2
hàng sài tạm mượt lắm vi xử_lý kém chơi game lien quan yếu,1,5/4/2020,Negative,0,1,1
sản_phẩm tốt nhân_viên nhiệt_tình tới tận mình về pin mình mong_đợi mặc_dù tác vụ 32gb bộ_nhớ thật_sự khó đủ mình mặc_dù mình chứa nói_chung mọi thứ khác ok,4,6/11/2018,Neutral,2,0,2
sản_phẩm tốt trong tầm giá đôi_khi máy hơi giật lác mượt lắm,5,25/02/2020,Negative,1,1,1
máy trong tầm giá bth pin nó trâu dùng ngon_lành tự_nhiên sập nguồn đơbấm mở nguồn ko đc chờ đến 10p mới mở nguồn cv mình toàn đth ko thôi cv tự_nhiên đơ rụp sập nguồn muốn đập lắm lun á ý_định đổi máy khác biết đc,1,12/4/2020,Negative,1,1,2
quá ngon trong tầm giá lần đầu dùng smartphone đi đâu kè_kè cục xạc giải_trí căn_bản pin 2 ngày,5,21/04/2020,Positive,2,1,0
mình mua 3 ngày về xài thấy tốt công_việc hầu_như xài suốt ngày 4g mình bật 2424 pin xài 70 6 giờ sáng đến 20 giờ trong dt khác mình xài sạt 2 lần về tất_cả chức_năng còn mình thấy mượt mình hài_lòng về sản_phẩm máy chạy nóng mình mua thêm sản_phẩm gia_đình xài,5,16/01/2020,Positive,3,0,0
mình thấy bạn chê mình thấy máy dùng ok ko lag fb tiktok coi phim loa ok cả mình dùng dt quay_phim chụp ảnh bán hàng online thôi k game gủng dùng messeger rep ib ko đơ sung_sướng nghe gọi loa to rõ ràngnhất khoản thu cũ đổi_mới còn hỗ_trợ trả_góp o mình đổi note8 lấy máy lo note8 nhỏ máy dùng hơn 2 năm dãi nắng dầm mưa mình giờ hay đơ dạo hơi stress lăn_tăn mãi đổi bỏ tiền mua máy mới quá tiếc ko nghĩ_lại đơn_giản đến thế luôn đưa máy cũ đến cầm máy mới về bắt_đầu_từ tháng thanh_toán 1tr3 trong vòng 9 tháng thích bạn nhân_viên tư_vấn nhiệt_tình cực_kỳ,5,14/06/2020,Positive,4,0,0
camera khởi_động phát âm_thanh khó_chịu giống bth kêu rè kiểu ấy,3,23/03/2020,Negative,0,0,1
mình mới mua máy hơn tuần dùng ok luônnhân viên tgdđ nhiệt_tình đáng yêu nói_chung tuyệt,5,18/05/2019,Positive,2,0,0
sản_phẩm khá tốt trong tầm giá sao sạc pin nó nóng thế mặc_dù tôi tắt ánh_sáng mạng đi xoá tác vụ trang nó thế,3,3/4/2020,Negative,1,1,1
máy đẹpchạy mượt màpin sài ổnsạc 3 tiếng đầy pingiá cả hợp lývì mình mua dung_lượng icloud 32gb sài củng tạm,5,6/2/2019,Positive,4,1,0
máy lag nhúc_nhích tgdd đổi trả mua ở tgdd lần cuối_cùng thề tẩy_chay tgdd,1,21/09/2019,Negative,0,0,2
pin 5000 dùng trong 1 ngày anh nhân_viên cute cam chụp đẹp xem vd youtube 720p căng,5,28/03/2020,Neutral,2,0,2
pin trâu thích nhất phần chụp hình ok trọn_gói nhân_viên phục_vụ nhiệt_tình,5,2/11/2019,Positive,3,0,0
màn_hình xấu nó ngà_ngà xấu hơn màn_hình note 6 pro xài camera lồi quá mất thẩm_mỹ,4,5/4/2020,Negative,0,0,2
mua sản_phẩm iphone 7plus 128g tgdđ cảm_thấy ok mới mua giá tương_đối cao giờ giá tốt hơn minh se tiếp_tục mua sản_phẩm apple trong thời_gian tới,4,19/06/2017,Positive,2,1,0
hiện_tại dùng thấy ổn camera ok cấu_hình tốt pin trâu máy mới mua dùng khá ổn,5,25/11/2019,Positive,3,0,0
pin trâu loa to thích nhất dong ss ko bao_giờ thất_vọng dòng ss đặc_biệt mua ở tgdd mấy anh_chị nhân_viên tư_vấn nhiệt_tình mk ủng_hộ dài_dài,5,21/07/2020,Positive,3,0,0
pin sạc lâu quá mình cắm sạc 6h đến 9h20 mới 80 độ sáng màn_hình chỉnh xuống 50 quá tối dòng máy khác xuống 20 siêu tối luôn độ sáng 70 mới rõ_ràng hao pin máy mượt chơi free fire ok pugb hơi giật tí đầu sao trong tầm giá quá tốt,5,8/4/2020,Neutral,2,1,2
tại_sao gửi đánh_giá đt xứng giá tiền cam_tệ chụp vỡ nét chụp đêm thảm_hại một trời một vực quảng_cáo pin tụt nhanh sd ít một ngày loa hay nhỏ cảm_biến vân tay gương_mặt khá nhạy chắc còn mới nói_chung mua dt khác giá 7tr5 thiết_kế còn xấu hơn nova 3i nhận tiền học_bổng phi đi mua dt liền mua trúng dt chán quá thất_vọng tràn_trề,2,11/4/2019,Negative,0,2,4
mình mua đc gần 2 tuần chơi game hoặc xem tik tok wf ao r xong kết_nối lầm,5,10/8/2019,Negative,0,0,1
mua hôm 181 máy tốt mượt bin bền cam tạm đc nói_chung ổn trong tầm giá nhân_viên chu_đáo nhiệt_tình,4,18/01/2020,Positive,5,1,0
mik mới mua máy 1 tuầnmình đêm máy hao mất 3 máy mới mua pin,2,2/4/2020,Negative,0,0,1
